PNC,Part No,Part Description
01100A,MX900923,"COVER ASSY,ROCKER"
01110,MX900803,"GASKET,ROCKER COVER"
01130,MX905850,"VALVE,PCV"
01151,MX911912,"CASE,ROCKER,UPR"
01152,MX000803,"GASKET,ROCKER CASE,UPR"
01901,MX901531,"BRACKET,ENG BREATHER HOSE"
01948,MX901539,"COVER,ENG BREATHER"
01951B,MX000825,"HOSE,ENG BREATHER"
01951C,MX000826,"HOSE,ENG BREATHER"
01952B,MX002939,"PIPE,ENG BREATHER"
01952E,MX001224,"PIPE,ENG BREATHER"
01952F,MX905849,"PIPE,ENG BREATHER"
01953,MX905848,"JOINT,ENG BREATHER HOSE"
01958,MX901533,"GUIDE,ENG BREATHER"
01959,MX901532,"SPRING,ENG BREATHER"
01961,MX905534,"DIAPHRAGM,ENG BREATHER"
01978B,MX000792,"BOLT,ENG BREATHER"
01978B,MX914549,"BOLT,ENG BREATHER"
01978C,MX901541,"BOLT,ENG BREATHER"
01978E,MX000077,"BOLT,ENG BREATHER"
01978F,MX001845,"BOLT,ENG BREATHER"
01978G,MX901540,"BOLT,ENG BREATHER"
01978H,MX901536,"BOLT,ENG BREATHER"
01978M,MX000793,"BOLT,ENG BREATHER"
01978M,MX914550,"BOLT,ENG BREATHER"
01983,MX912117,"O-RING,ENG BREATHER"
01986,MX912116,"GASKET,ENG BREATHER"
01986C,MX901934,"GASKET,ENG BREATHER"
01988B,MX00804,"CLAMP,ENG BREATHER"
01991,MX001227,"BRACKET,ENG BREATHER"
04903,MX905058,"CAP,ENG OIL FILLER"
04903,MX956471,"CAP,ENG OIL FILLER"
04907,MX905057,"GASKET,ENG OIL FILLER CAP"
03026,MX906540,"GEAR, CRANKSHAFT"
03107B,MX000195,"BUSHING, TIMING GEAR TRAIN"
03107C,MX000171,"BUSHING, TIMING GEAR TRAIN"
03133A,MX004955,"GEAR ASSY, CAM IDLER 1ST"
03133A,MX901910,"GEAR ASSY, CAM IDLER 1ST"
03134A,MX000167,"GEAR ASSY, CAM IDLER 2ND"
03136,MX000173,"GEAR, CAMSHAFT"
03136,MX901927,"GEAR, CAMSHAFT"
03139A,MX004956,"GEAR ASSY, CAM IDLER 3RD"
03139A,MX901911,"GEAR ASSY, CAM IDLER 3RD"
03140,MX000189,"SHAFT, CAM IDLER 3RD GEAR"
03145B,MX910568,"PLATE, CAM IDLER GEAR THRUST"
03145C,MX910569,"PLATE, CAM IDLER GEAR THRUST"
03155,MX000193,"SHAFT, CAM IDLER GEAR"
03174,MX000191,"THRUST WASHER, TIMING GEAR TRAIN"
03298B,MX000198,"BOLT, TIMING GEAR TRAIN"
03298C,MX000199,"BOLT, TIMING GEAR TRAIN"
03298D,MX000200,"BOLT, TIMING GEAR TRAIN"
03298E,MX000201,"BOLT, TIMING GEAR TRAIN"
03788,MX906538,"PIN, CRANKSHAFT"
03788C,MX000205,"PIN, CRANKSHAFT"
